cases.0.samples.0.sample_id	cases.0.samples.0.submitter_id	cases.0.submitter_id	file_name	id
df92851b-7dfb-4ff7-b03f-37e332496ba6	TCGA-EI-6512-01A	TCGA-EI-6512	f7787fbb-68d8-4c5e-8c19-9e87c6ecaf79.htseq.counts.gz	2c1783c1-2f78-41ac-b8cc-072e44c10bc0
8dc877bb-8bd6-467b-a03e-1725e03971df	TCGA-DY-A1DE-01A	TCGA-DY-A1DE	8436cad7-0a0e-4e47-ae15-f0ef5010ca1a.htseq.counts.gz	d29657b1-d7b6-4382-96a2-1421e81d194f
ab5d238f-901a-4c59-81a1-a3b8dcccdba2	TCGA-DC-6154-01A	TCGA-DC-6154	d8861f06-6a88-4ca0-9a77-aef9373d527a.FPKM.txt.gz	c9d12afe-0459-4660-b843-50ea781f2fa9
74e9942c-3adb-47d1-bd92-f97095865ee1	TCGA-A6-5667-01A	TCGA-A6-5667	1c1a1ce6-b06e-421b-9f0b-a9215d553666.htseq.counts.gz	85680290-b71a-4e2c-bb42-a9f19f718816
57267a5a-de07-49eb-8021-91f2c3aa8e44	TCGA-CM-5348-01A	TCGA-CM-5348	ecdb94bb-54ab-4d89-a13f-be2e65fc89bb.FPKM.txt.gz	d9c885ec-6ac4-418a-a92f-01b64a39adf9
510e5040-0834-4b92-9277-d60b523a22e8	TCGA-A6-2686-01A	TCGA-A6-2686	6314b0c4-f403-4c6b-91ba-02bacf1c6de7.htseq.counts.gz	23b8f651-9b0f-4877-a2e3-6aa38361d1c4
46f8f339-748f-4fcd-aeee-6ead28bc5010	TCGA-D5-6541-01A	TCGA-D5-6541	00f768f9-9e6c-4e84-bdba-c19368f7e522.FPKM.txt.gz	67a07aea-08b9-4033-8d97-734acc633f21
ea584d2c-b25d-4c8a-98cc-cb59751a49e8	TCGA-AA-3489-11A	TCGA-AA-3489	636b2a02-fffa-441c-81fa-d6d0c5c5a270.FPKM-UQ.txt.gz	6c9759f3-e7ae-4199-b3bd-9ffe856defa8
a73684e4-7cf1-4e9d-83b8-a6ebebd51101	TCGA-D5-6534-01A	TCGA-D5-6534	d2587070-cb7d-440d-ae49-52f5077248e6.htseq.counts.gz	0b16e2bd-3ec7-4901-9ff0-a389670e5019
849016dc-fea2-4d92-9bee-24f41fa625e0	TCGA-D5-6537-01A	TCGA-D5-6537	646d58e7-b7e2-4b2b-bb37-3ca20b601213.htseq.counts.gz	7396a04b-65d1-40cb-b666-9c2d45aef72c
4e0e61b3-003a-482d-8749-a7b33be4a4c8	TCGA-D5-5537-01A	TCGA-D5-5537	c0085daf-b7dd-4c12-b347-6949c2421934.FPKM-UQ.txt.gz	685336fe-2dd0-4838-8763-a013e8f74523
cd96dee2-5b44-4014-bfbd-4358a461497e	TCGA-G4-6293-01A	TCGA-G4-6293	708ac46f-4702-478e-b1ae-187e1a55b985.FPKM.txt.gz	19a12f7a-f7ee-40a4-a818-1301aa3239dd
be361e78-868c-4c27-aa2a-5492901aee55	TCGA-AA-3527-01A	TCGA-AA-3527	51cca578-4550-43e0-b37d-3275339748cd.FPKM-UQ.txt.gz	0221a26a-0fbc-4bfc-97e4-7cdbc8811891
babd6a62-0359-4680-a8ed-1429a1bfb6a8	TCGA-QL-A97D-01A	TCGA-QL-A97D	e19da22a-2a4e-43ff-acff-12aeafa3a2c1.FPKM.txt.gz	ae17d807-0f79-4bfd-8345-244d86854333
c5849720-9d9f-4af4-9649-27f7a32ba779	TCGA-SS-A7HO-01A	TCGA-SS-A7HO	fc822b3c-b73f-4529-960b-e3bdfcff80ed.htseq.counts.gz	ae11f137-e425-4a83-9807-34fbe44683a5
